Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367876476700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367897481600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367917989200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367937989500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367958992600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367979024200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368000030700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368020547100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368044572900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368065538100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368085579600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368106063100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368127061100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368147088700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368168062000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368188133900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368208608900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368232608700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368253607000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368273609200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368294617900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368315127100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368335126400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368356128700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368376128900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368397140400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368421654900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368441654600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368462654900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368482653900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368503181100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368524187600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368544185100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368565186700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368589192800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368609704000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368630704200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368650704900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368672720800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368692748800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368712248800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368733250200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368753280300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368778249700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368798286500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368818837900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368839804300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368859804000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368880802700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368900815800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368921332900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368941843600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368966485800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199368986448900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369006965600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369027968700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369047998800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369068964900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369089065300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369109539500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369130532200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369154531200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369175531500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369195960000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369216508900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369236470600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369257504300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369277470100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369297553000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369322126300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369343095900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369363092900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369384095200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369404740100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369424746100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369445715600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369465745600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369486712600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369511301800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369531335100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369552304500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369572299800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369593309400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369613443100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369633474100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369654440800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369675467600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369699484300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369719996100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369739997200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369760993800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369781030800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369802072800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369822677400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369842646700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369863698100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369887704700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369908274800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369928242600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369949276700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369969239300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199369990242500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199370010749600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199370030750200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199370051749600
