wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,-0.0806342139840126,0.2590068578720093,0.0452040284872055,seq,16734.0,1721412757686551800
left,-0.090408056974411,0.2553416788578033,0.0390953756868839,seq,16735.0,1721412757692601400
left,-0.0085521135479211,0.2846632003784179,0.0036651915870606,seq,16736.0,1721412757706538300
left,0.0427605658769607,0.3029891550540924,-0.0280998013913631,seq,16737.0,1721412757720621000
left,0.0464257597923278,0.3066543638706207,-0.0354301854968071,seq,16738.0,1721412757757303500
left,0.058643065392971,0.2773328125476837,-0.0329867228865623,seq,16739.0,1721412757773278800
left,0.0965167060494422,0.2504547536373138,-0.0537561401724815,seq,16740.0,1721412757797367200
left,0.1441642045974731,0.2724458873271942,-0.067195177078247,seq,16741.0,1721412757823272000
left,0.0940732508897781,0.2113593816757202,-0.0452040284872055,seq,16742.0,1721412757837508100
left,0.0342084541916847,0.1844813078641891,-0.0122173046693205,seq,16743.0,1721412757845169100
left,0.0855211317539215,0.1991420686244964,-0.0305432621389627,seq,16744.0,1721412757872148600
left,0.0610865242779254,0.180816113948822,-0.0171042270958423,seq,16745.0,1721412757890143400
left,0.0708603709936142,0.157603234052658,-0.0244346093386411,seq,16746.0,1721412757909228800
left,0.0366519130766391,0.1221730485558509,-0.0256563406437635,seq,16747.0,1721412757923153500
left,0.0781907513737678,0.1148426681756973,-0.0354301854968071,seq,16748.0,1721412757939244900
left,0.1062905490398407,0.1258382350206375,-0.0439822971820831,seq,16749.0,1721412757963284300
left,0.1490511149168014,0.1343903541564941,-0.0537561401724815,seq,16750.0,1721412757981283400
left,0.1331686228513717,0.1527163088321685,-0.0476474873721599,seq,16751.0,1721412757995265000
left,0.0965167060494422,0.1368338167667389,-0.0427605658769607,seq,16752.0,1721412758021265400
left,0.1539380401372909,0.1527163088321685,-0.0574213340878486,seq,16753.0,1721412758039312000
left,0.2186897546052932,0.1649336218833923,-0.0733038261532783,seq,16754.0,1721412758064840900
left,0.1722639948129654,0.1331686228513717,-0.0488692186772823,seq,16755.0,1721412758076840200
left,0.1148426681756973,0.0855211317539215,-0.0378736443817615,seq,16756.0,1721412758106821900
left,0.1343903541564941,0.0720821022987365,-0.0439822971820831,seq,16757.0,1721412758124918800
left,0.1466076523065567,0.0366519130766391,-0.0464257597923278,seq,16758.0,1721412758138884900
left,0.117286130785942,-0.0036651915870606,-0.0427605658769607,seq,16759.0,1721412758158471000
left,0.0928515195846557,-0.0317649915814399,-0.0366519130766391,seq,16760.0,1721412758184488200
left,0.1209513172507286,-0.0293215326964855,-0.0549778714776039,seq,16761.0,1721412758208487800
left,0.1185078546404838,-0.0293215326964855,-0.0500909499824047,seq,16762.0,1721412758220516500
left,0.0598647929728031,-0.0659734457731247,-0.051312681287527,seq,16763.0,1721412758238512100
